sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg,IT_B_Label,IT_M_Label,NST_B_Label,NST_M_Label
198.18.134.11,198.18.134.12,b8:27:eb:6d:4f:4b,b8:27:eb:5b:50:19,198.18.134.11,198.18.134.12,IPV4-TCP,2023-03-10 10:29:34.085540,2023-03-10 10:29:34.565764,1678440574.08554,1678440574.565764,0.006717,0.486941,0.480225,42,30,2478,1866,65,65,52,52,59.0,62.2,41280.659,31085.436,294,306,13,13,0,0,7.0,10.2,0.011692971718020556,0.016545345043313914,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,0.0,503.0,506.2,0.0,0.0,0.198,0.2,0.0,0.0,0.020279,0.028912,0,Normal,0,Normal
198.18.134.11,198.18.134.15,b8:27:eb:6d:4f:4b,b8:27:eb:15:88:9c,198.18.134.11,198.18.134.15,IPV4-TCP,2023-03-10 10:29:34.416492,2023-03-10 10:29:34.916407,1678440574.416492,1678440574.916407,0.337669,0.837584,0.499916,16,24,1040,1464,65,64,65,52,65.0,61.0,16642.792,23427.93,208,216,13,12,13,0,13.0,9.0,0.0005249341328938802,0.021735440129819122,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.001,0.491,0.0,0.0,0.000578,0.04882,0,Normal,0,Normal
198.18.134.12,198.18.134.15,b8:27:eb:5b:50:19,b8:27:eb:15:88:9c,198.18.134.12,198.18.134.15,IPV4-TCP,2023-03-10 10:29:34.425676,2023-03-10 10:29:34.925551,1678440574.425676,1678440574.925551,0.346853,0.846728,0.499876,10,16,650,976,65,64,65,52,65.0,61.0,10402.583,15619.879,130,144,13,12,13,0,13.0,9.0,0.0004223187764485677,0.03332498868306478,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.0,0.496,0.0,0.0,0.000423,0.077478,0,Normal,0,Normal
b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,,,ARP,2023-03-10 10:29:34.078823,2023-03-10 10:29:34.078827,1678440574.078823,1678440574.078827,0.0,4e-06,5e-06,3,0,180,0,60,,60,,60.0,,299084224.938,0.0,0,0,0,,0,,0.0,,1.9073486328125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
198.18.134.11,198.18.134.12,b8:27:eb:6d:4f:4b,b8:27:eb:5b:50:19,198.18.134.11,198.18.134.12,IPV4-TCP,2023-03-10 10:29:34.686231,2023-03-10 10:29:35.166135,1678440574.686231,1678440575.166135,0.607408,1.087312,0.479905,42,30,2478,1866,65,65,52,52,59.0,62.2,41308.161,31106.145,294,306,13,13,0,0,7.0,10.2,0.011686075024488495,0.01652951898245976,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,0.0,503.0,506.2,0.0,0.0,0.197,0.199,0.0,0.0,0.020305,0.028945,0,Normal,0,Normal
198.18.134.11,198.18.134.15,b8:27:eb:6d:4f:4b,b8:27:eb:15:88:9c,198.18.134.11,198.18.134.15,IPV4-TCP,2023-03-10 10:29:34.917134,2023-03-10 10:29:34.925210,1678440574.917134,1678440574.92521,0.838311,0.846387,0.008077,16,30,1040,1728,65,64,65,52,65.0,57.6,1030091.482,1711536.616,208,168,13,12,13,0,13.0,5.6,0.0005228678385416667,0.00026568873175259296,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.467,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.001,0.001,0.001,0.0,0.000566,0.000406,0,Normal,0,Normal
198.18.134.12,198.18.134.15,b8:27:eb:5b:50:19,b8:27:eb:15:88:9c,198.18.134.12,198.18.134.15,IPV4-TCP,2023-03-10 10:29:34.926212,2023-03-10 10:29:34.930585,1678440574.926212,1678440574.930585,0.847389,0.851762,0.004374,10,18,650,1032,65,64,65,52,65.0,57.333,1188887.969,1887588.283,130,96,13,12,13,0,13.0,5.333,0.00046022733052571613,0.00024381805868709788,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.444,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.001,0.001,0.0,0.0,0.000571,0.000333,0,Normal,0,Normal
198.18.134.11,198.18.134.12,b8:27:eb:6d:4f:4b,b8:27:eb:5b:50:19,198.18.134.11,198.18.134.12,IPV4-TCP,2023-03-10 10:29:35.285529,2023-03-10 10:29:35.766373,1678440575.285529,1678440575.766373,1.206706,1.68755,0.480845,42,30,2478,1866,65,65,52,52,59.0,62.2,41227.421,31045.346,294,306,13,13,0,0,7.0,10.2,0.011711364839135147,0.016562248098439182,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,0.0,503.0,506.2,0.0,0.0,0.197,0.2,0.0,0.0,0.02027,0.028972,0,Normal,0,Normal
198.18.134.11,198.18.134.15,b8:27:eb:6d:4f:4b,b8:27:eb:15:88:9c,198.18.134.11,198.18.134.15,IPV4-TCP,2023-03-10 10:29:35.440977,2023-03-10 10:29:35.494242,1678440575.440977,1678440575.494242,1.362154,1.415419,0.053266,16,20,1040,1232,65,64,65,52,65.0,61.6,156197.62,185034.104,208,192,13,12,13,0,13.0,9.6,0.0006013234456380208,0.0028034134915000514,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.001,0.043,0.0,0.001,0.00057,0.005475,0,Normal,0,Normal
198.18.134.12,198.18.134.15,b8:27:eb:5b:50:19,b8:27:eb:15:88:9c,198.18.134.12,198.18.134.15,IPV4-TCP,2023-03-10 10:29:35.451627,2023-03-10 10:29:35.457084,1678440575.451627,1678440575.457084,1.372804,1.378261,0.005458,10,20,650,1160,65,64,65,52,65.0,58.0,952743.128,1700280.043,130,120,13,12,13,0,13.0,6.0,0.0005163351694742838,0.00028720654939350327,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.0,0.001,0.0,0.0,0.000428,0.00054,0,Normal,0,Normal
