sAddress,rAddress,sIPs,rIPs,protocol,duration,sBytesSum,rBytesSum,sBytesMin,rBytesMin,sBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,sWinTCP,rWinTCP,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg,Label,AttackType
16,4,7,1,2,0.427148,520,616,65.0,52.0,65.0,9739.015,11536.987,104,96,13.0,12.0,13.0,0.0,13.0,9.6,0.0609107017517089,0.0473828845553927,64.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,509.0,502.0,0.174,0.001,0.109,0.000833,0.133285,0,BAD-MITM
16,4,7,1,2,0.482523,520,616,65.0,52.0,65.0,8621.35,10212.984,104,96,13.0,12.0,13.0,0.0,13.0,9.6,0.0501507350376674,0.0536135567559136,64.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,509.0,502.0,0.131,0.001,0.107,0.00065,0.119979,0,BAD-MITM
16,4,7,1,2,0.499441,390,696,65.0,52.0,65.0,6246.985,11148.465,78,72,13.0,12.0,13.0,0.0,13.0,6.0,0.0751884460449218,0.0454036322506991,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.191,0.001,0.123,0.000599,0.151788,0,BAD-MITM
16,4,7,1,2,0.471684,650,640,65.0,64.0,65.0,11024.329,10854.724,130,120,13.0,12.0,13.0,12.0,13.0,12.0,0.0523333284589979,0.0522986782921685,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,509.0,502.0,0.12,0.0,0.111,0.000707,0.117036,0,BAD-MITM
16,4,7,1,2,0.409163,390,696,65.0,52.0,65.0,7625.327,13608.275,78,72,13.0,12.0,13.0,0.0,13.0,6.0,0.0695363998413085,0.0371376384388316,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.176,0.001,0.111,0.000704,0.14287,0,BAD-MITM
30,10,20,7,0,0.291186,240,240,60.0,60.0,60.0,6593.72,6593.72,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.087683359781901,0.0020876725514729,64.0,0.0,0.0,1.0,0.556,0.0,0.0,0.0,509.0,502.0,0.2,0.0,0.0,0.000553,0.028963,0,BAD-MITM
31,11,20,7,0,0.263044,720,0,60.0,52.0,60.0,21897.483,0.0,0,0,0.0,12.0,0.0,0.0,0.0,6.75,0.0239129933443936,0.0161014526121078,64.0,0.0,0.0,1.0,0.556,0.0,0.0,0.0,509.0,502.0,0.2,0.0,0.0,0.000553,0.028963,0,BAD-MITM
16,4,7,1,2,0.487589,1820,3144,65.0,52.0,65.0,29861.205,51584.411,364,312,13.0,12.0,13.0,0.0,13.0,5.778,0.0157547438586199,0.0091997767394443,64.0,0.0,0.0,1.0,0.481,0.0,0.0,0.0,509.0,502.0,0.045,0.0,0.0,0.024029,0.0039,0,BAD-MITM
30,10,20,7,0,0.246126,120,480,60.0,60.0,60.0,3900.442,15601.766,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0351607118334089,64.0,0.0,0.0,1.0,0.556,0.0,0.0,0.0,509.0,502.0,0.2,0.0,0.0,0.000553,0.028963,0,BAD-MITM
31,11,20,7,0,0.055672,360,0,60.0,52.0,60.0,51731.592,0.0,0,0,0.0,12.0,0.0,0.0,0.0,6.75,0.0111341953277587,0.0161014526121078,64.0,0.0,0.0,1.0,0.556,0.0,0.0,0.0,509.0,502.0,0.2,0.0,0.0,0.000553,0.028963,0,BAD-MITM
16,4,7,1,2,0.463737,390,696,65.0,52.0,65.0,6727.951,12006.804,78,72,13.0,12.0,13.0,0.0,13.0,6.0,0.0687727928161621,0.0421578233892267,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.171,0.001,0.11,0.000727,0.13651,0,BAD-MITM
16,4,7,1,2,0.487982,650,640,65.0,64.0,65.0,10656.129,10492.189,130,120,13.0,12.0,13.0,12.0,13.0,12.0,0.0541600121392144,0.0541359848446316,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,509.0,502.0,0.127,0.001,0.116,0.000646,0.121186,0,BAD-MITM
16,4,7,1,2,0.409424,390,696,65.0,52.0,65.0,7620.464,13599.598,78,72,13.0,12.0,13.0,0.0,13.0,6.0,0.0687895774841308,0.0371555415066805,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.175,0.001,0.111,0.000716,0.142142,0,BAD-MITM
16,4,7,1,2,0.464064,650,848,65.0,52.0,65.0,11205.353,14618.676,130,120,13.0,12.0,13.0,0.0,13.0,8.571,0.0373278988732232,0.0356971483964186,64.0,0.0,0.0,1.0,0.714,0.0,0.0,0.0,509.0,502.0,0.115,0.001,0.051,0.000726,0.081573,0,BAD-MITM
