,sAddress,rAddress,sIPs,rIPs,protocol,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg
sAddress,1.0,0.7056824999609994,0.7149862936293208,0.492003643445021,-0.8290384306375381,-0.30363373096425705,-0.3195541651474594,-0.341941937946658,-0.3532635557089395,-0.3258739937082829,-0.03569526988102946,0.16555041907314744,-0.45267701542376043,-0.023329506045309475,-0.3986996638703284,0.1300832034068409,-0.11579184088706676,-0.0006537142603534817,-0.3427534352532313,-0.055102050011171924,-0.022710635835577295,0.16611918700842435,-0.39982706777100796,0.007494593958178268,-0.3537694668582142,0.13212500832984603,-0.039746056422474446,0.07204629824070255,,-0.15896134448895244,-0.12555242081263834,-0.20044909803381705,,,0.16203572531070753,0.11264665872773849,0.015916029970965695,-0.23767114287208116,0.16944814014491316,0.20095277946958978,0.15977305002262687,0.04597850337678753,0.2544596921526529,0.19059909185449891,,,-0.15909995753220915,-0.1456435222241965,-0.05039214902931654,-0.026210658779561063,-0.14790436752482844,-0.07117410771268066
rAddress,0.7056824999609994,1.0,0.7359991995143214,0.8753961490463535,-0.8575059920257756,-0.5789987805793839,-0.5695946437426291,-0.606951643825156,-0.5674752166452603,-0.6258629965645145,0.048710250694331186,0.022397548155440976,0.1390247392110274,0.013050345422123738,0.10023746683287818,-0.021144802148505407,0.4167014530485824,-0.0011391361187763802,-0.29952308063970073,-0.308693410336188,0.055190183434849605,0.022134974600265624,0.15021634642936688,0.0036444872949134587,0.11159501781750175,-0.026810407005163777,-0.1297988170273251,0.011230269235333752,,-0.02539333278819207,-0.01767397726283919,-0.0314010806068542,,,0.023278811312942852,0.016464920055470376,0.32845088000639133,-0.29786878191636784,0.02590891994625115,0.03144207387576534,0.02250336868745915,0.007717067151717261,0.03820936528686987,0.027044332594821113,,,-0.3957866510901243,-0.1113525096942803,-0.10485318763028899,-0.018053725105652976,-0.38649161165410567,-0.035892283603542754
sIPs,0.7149862936293208,0.7359991995143214,1.0,0.848981928017126,-0.6247465748762369,-0.5234365810919885,-0.48873540202577737,-0.578328232611185,-0.5044999500843435,-0.5667588324425378,0.0926558874957488,0.16526802148861597,-0.14134748212893852,-0.01938246487753189,-0.10265716989878539,0.1217812506274916,0.22124000754766213,0.005899626069078178,-0.4045130508364173,-0.16646754348457193,0.02526793163116873,0.16569043945843628,-0.27575535540244733,0.005526599005968008,-0.24161644321661074,0.12133051345811585,-0.09225642270699438,0.07176297521343442,,-0.15775002222516837,-0.12582638220030803,-0.19924176323448853,,,0.16214697619260235,0.11257854698361419,0.09200098015638389,-0.2961696749140039,0.16875593831049604,0.19976199430480437,0.16011539911495634,0.04543586020732396,0.25427189352248075,0.19062325634781044,,,-0.24605919982198746,-0.2115651293260328,-0.08318841321023457,-0.03821203610394546,-0.23301558133850883,-0.0882971283826184
rIPs,0.492003643445021,0.8753961490463535,0.848981928017126,1.0,-0.6142060866944051,-0.6582945738406915,-0.6416201428626903,-0.6896934147529441,-0.6334001333360558,-0.7110141384554884,0.10011525186183083,0.02136598954002727,0.2673481677431649,0.020030280694203827,0.22123732499309254,-0.02596507720616208,0.5405878069710228,0.006464141482107802,-0.3477983929535749,-0.35089150791900187,0.05114745131474024,0.020925261655758958,0.15180612822961323,0.0033948775538783288,0.10825395783790157,-0.03377662829635367,-0.13270578550794063,0.011014844607973672,,-0.02454195254073983,-0.01708140931356722,-0.030348274344662838,,,0.022498326124121067,0.01591288902322949,0.3656244505501061,-0.32621747772641646,0.025040253243103352,0.03038789320322274,0.021748882312573107,0.007458331577460979,0.037025059100245165,0.026082171352966588,,,-0.4375855586178201,-0.12979172380996595,-0.11772781132435517,-0.02126375200216265,-0.4274572151612858,-0.040665398904738866
protocol,-0.8290384306375381,-0.8575059920257756,-0.6247465748762369,-0.6142060866944051,1.0,0.41518548399971217,0.3049303103193952,0.45141628211844664,0.352179927884165,0.4641347457711453,0.1783424444752438,0.028180046447924167,0.3069040421255985,-0.010268740578953361,0.3307725468636366,0.04334504611393146,-0.05042885174767827,0.0205718052448397,0.37829333083201844,0.2343806043578817,0.14415214450854066,0.029088576409755613,0.22443174091057302,0.026937632332800044,0.24724046065252595,0.05414598774014333,0.12266075061875714,0.0010964325846521713,,-0.028421978509919257,-0.019781940643209314,-0.03514626637001623,,,0.026055259480575417,0.01842867999594526,-0.16227214581510557,0.0881792295821055,0.028999059401529026,0.03519214887853736,0.025187330334724006,0.008637476560292278,0.041702435746343136,0.030879417866844436,,,0.1625968333220132,0.1191978834141481,0.06288246716053604,0.02175002413126269,0.16040956500987444,0.02555022519670911
duration,-0.30363373096425705,-0.5789987805793839,-0.5234365810919885,-0.6582945738406915,0.41518548399971217,1.0,0.5130736461125069,0.6100685918488342,0.5196400928314476,0.631387766577124,-0.027506008556857094,0.02837842002613447,-0.15844892124578275,-0.04464346131553276,-0.1172552688159313,0.050022369251292664,-0.3841814167475341,-0.03883721813539563,0.32114764461648015,0.33136550947295984,-0.01147271966870532,0.02873888745824582,-0.11698234260180103,-0.027179380494595902,-0.07846826276806103,0.055721299692045256,0.3850286539073464,0.5143458041481924,,-0.0422072824825673,-0.012112071963233086,-0.041175895751662375,,,-0.02034289980987775,-0.03309625666706971,-0.2911779684837135,0.2473964661548994,0.026530558636272218,0.043313794092119724,0.00234469488680647,-0.018168924395880214,0.003949783472652729,0.00864750611399072,,,0.3338471584131625,0.6414152184768227,0.06638259164976323,0.03661514680426304,0.3239989653195651,0.498847921953426
sPackets,-0.3195541651474594,-0.5695946437426291,-0.48873540202577737,-0.6416201428626903,0.3049303103193952,0.5130736461125069,1.0,0.5710225132499724,0.9832711817929275,0.6335416557960594,-0.059925697822880104,-0.025702410876471418,-0.24283961812887686,0.00811679296388168,-0.15336608602556234,0.08303038115802423,-0.2804772290046533,-0.02845298043272857,0.46303629112604716,0.42525832575247774,-0.0496301369761752,-0.02637699962070149,-0.21391636772421851,-0.025556470310792462,-0.12684560978333181,0.07902050818382957,-0.089407890859405,-0.08791715796166459,,0.13975202093492345,0.030042213681276294,0.1496501723251242,,,-0.06726339948036011,-0.06053347944748361,-0.7139111583068459,0.7451089811735085,-0.10266664161178182,-0.14951883804784988,-0.04731419503166898,-0.0412126635067531,-0.1174367208299414,-0.05899813159942667,,,0.8849376989222,-0.0971428696766397,0.14414623779015143,-0.06460833604140379,0.8712973418992669,-0.10253192392163062
rPackets,-0.341941937946658,-0.606951643825156,-0.578328232611185,-0.6896934147529441,0.45141628211844664,0.6100685918488342,0.5710225132499724,1.0,0.5826251647351136,0.9575831107204476,-0.0998010449813229,-0.05071912185617456,-0.1518759528958019,-0.10884002675606191,-0.1440633723185731,-0.06849921011225032,-0.4032100286747456,-0.026160401675823786,0.37704645731093017,0.34049998113169366,-0.08173507042703393,-0.049043302054322085,-0.11128079659234412,-0.026873797132406407,-0.10218973437085069,-0.048178031025342155,0.028193814516777268,-0.20671024177953642,,-0.23004830938135953,0.051213873344352685,-0.1977737681830725,,,-0.0947187114433601,-0.08013020726021143,-0.22440613435025664,0.07418013082302102,0.11130911815619658,0.20188483508895788,-0.07457670544322209,-0.003681823138867946,0.010232284389970536,-0.07841935762496087,,,0.25915012632449275,0.22195930362511562,0.06583465737368366,-0.06809359801527691,0.2532181193824876,-0.12295759941642409
sBytesSum,-0.3532635557089395,-0.5674752166452603,-0.5044999500843435,-0.6334001333360558,0.352179927884165,0.5196400928314476,0.9832711817929275,0.5826251647351136,1.0,0.6759344530478228,0.09674540661739117,0.09368833421869399,-0.1478971803598348,0.009302157498963286,-0.02079073147297342,0.18803098287881564,-0.2308309061522709,-0.03021158303018046,0.6146656853071468,0.5361117945263953,0.10707892445665322,0.0929684375219696,-0.11847534585032019,-0.027064085961532328,0.0032602366358281225,0.18351592588311738,-0.08001988224371091,-0.08606083960549614,,0.14886060147474134,0.024077310516149086,0.15025690245772433,,,-0.04168357430983773,-0.03666469452116579,-0.7126453221420875,0.7160931880515642,-0.09357628340793626,-0.14986366783661026,-0.03785620316393472,-0.04492775066948413,-0.05254870038554596,-0.023806079099915452,,,0.8719486921007114,-0.09508307076441415,0.1378671953729816,-0.06704752191480702,0.8628217365628453,-0.1239291782671741
rBytesSum,-0.3258739937082829,-0.6258629965645145,-0.5667588324425378,-0.7110141384554884,0.4641347457711453,0.631387766577124,0.6335416557960594,0.9575831107204476,0.6759344530478228,1.0,0.10087182964263508,0.19115273249549114,-0.17600417179565214,-0.05777664864708217,-0.0887307643517647,0.17910771242404508,-0.4141371070431224,-0.010391627109899937,0.5550580202562484,0.5906315504672334,0.11675041906057441,0.19222255820472456,-0.1323466715197626,-0.0075985416989221,-0.050236517052125416,0.19288320113488813,0.03684712593968933,-0.16768345763279174,,-0.12485694902941667,0.015490935932205217,-0.12067935470595548,,,-0.02435002727665501,-0.02457823709366293,-0.32277124580510996,0.1472325337612266,0.08789497779491227,0.12437677494821955,-0.030039702903342812,-0.01838338123878906,0.10009291045693244,0.016638374034908494,,,0.3564262830325445,0.17830639226623898,0.07231921150275662,-0.0701179278506692,0.3562898265075152,-0.1522445121767127
