sAddress,rAddress,sIPs,rIPs,protocol,duration,sBytesSum,rBytesSum,sBytesMin,rBytesMin,sBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,sWinTCP,rWinTCP,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg,Label
16,3,7,0,2,0.480225,2478,1866,52.0,52.0,59.0,41280.659,31085.436,294,306,13.0,13.0,0.0,0.0,7.0,10.2,0.0116929717180205,0.0165453450433139,64.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,503.0,506.2,0.2,0.0,0.0,0.020279,0.028912,1
16,4,7,1,2,0.499916,1040,1464,65.0,52.0,65.0,16642.792,23427.93,208,216,13.0,12.0,13.0,0.0,13.0,9.0,0.0005249341328938,0.0217354401298191,64.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,509.0,502.0,0.491,0.0,0.0,0.000578,0.04882,1
17,4,8,1,2,0.499876,650,976,65.0,52.0,65.0,10402.583,15619.879,130,144,13.0,12.0,13.0,0.0,13.0,9.0,0.0004223187764485,0.0333249886830647,64.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,509.0,502.0,0.496,0.0,0.0,0.000423,0.077478,1
29,11,20,7,0,5e-06,180,0,60.0,52.0,60.0,299084224.938,0.0,0,0,0.0,12.0,0.0,0.0,0.0,6.75,1.9073486328125e-06,0.0161014526121078,64.0,0.0,0.0,1.0,0.556,0.0,0.0,0.0,509.0,502.0,0.2,0.0,0.0,0.000553,0.028963,1
16,3,7,0,2,0.479905,2478,1866,52.0,52.0,59.0,41308.161,31106.145,294,306,13.0,13.0,0.0,0.0,7.0,10.2,0.0116860750244884,0.0165295189824597,64.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,503.0,506.2,0.199,0.0,0.0,0.020305,0.028945,1
16,4,7,1,2,0.008077,1040,1728,65.0,52.0,65.0,1030091.482,1711536.616,208,168,13.0,12.0,13.0,0.0,13.0,5.6,0.0005228678385416,0.0002656887317525,64.0,0.0,0.0,1.0,0.467,0.0,0.0,0.0,509.0,502.0,0.001,0.001,0.0,0.000566,0.000406,1
17,4,8,1,2,0.004374,650,1032,65.0,52.0,65.0,1188887.969,1887588.283,130,96,13.0,12.0,13.0,0.0,13.0,5.333,0.0004602273305257,0.000243818058687,64.0,0.0,0.0,1.0,0.444,0.0,0.0,0.0,509.0,502.0,0.001,0.0,0.0,0.000571,0.000333,1
16,3,7,0,2,0.480845,2478,1866,52.0,52.0,59.0,41227.421,31045.346,294,306,13.0,13.0,0.0,0.0,7.0,10.2,0.0117113648391351,0.0165622480984391,64.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,503.0,506.2,0.2,0.0,0.0,0.02027,0.028972,1
16,4,7,1,2,0.053266,1040,1232,65.0,52.0,65.0,156197.62,185034.104,208,192,13.0,12.0,13.0,0.0,13.0,9.6,0.000601323445638,0.0028034134915,64.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,509.0,502.0,0.043,0.0,0.001,0.00057,0.005475,1
17,4,8,1,2,0.005458,650,1160,65.0,52.0,65.0,952743.128,1700280.043,130,120,13.0,12.0,13.0,0.0,13.0,6.0,0.0005163351694742,0.0002872065493935,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.001,0.0,0.0,0.000428,0.00054,1
