Feature,Importance
sInterPacketAvg,0.10460606488067131
sLoad,0.10455306637759625
duration,0.10101994955812384
rAckDelayAvg,0.10006203252586995
rInterPacketAvg,0.09615593851312117
sAckDelayAvg,0.09438553733318832
rLoad,0.0921302832171206
sWinTCP,0.022949444781218076
rWinTCP,0.0202832147420033
rAckDelayMin,0.019776974941429163
sAddress,0.018832865473427503
rPshRate,0.018155623436860596
rBytesAvg,0.01786052435418545
rAckRate,0.017715838968567696
sPshRate,0.017079901601518347
rSynRate,0.017017703853731865
rAckDelayMax,0.01616593889648732
rPayloadAvg,0.013864467286591166
rPayloadMax,0.012707276648039865
sAckDelayMax,0.010120387287335046
rBytesMax,0.0082510737905506
sSynRate,0.007820524419401498
sPackets,0.007774098588893532
sAckDelayMin,0.007356231039893841
sBytesSum,0.006601186365106081
rBytesSum,0.005634799683198381
rPackets,0.004375141938288605
sIPs,0.004177188182556833
rPayloadSum,0.0038074605259126914
rBytesMin,0.0036970029454101517
rttl,0.0036664609514715962
sPayloadSum,0.0035196362727326572
sPayloadMax,0.0027105970721131504
sFinRate,0.002596839717891088
sBytesMax,0.002111010004730934
rAddress,0.0020159863551610984
sPayloadAvg,0.0016959889180187349
protocol,0.001623614528354933
sBytesAvg,0.0015426916009477754
rIPs,0.0009787260830094156
sBytesMin,0.000887774581826306
sPayloadMin,0.0007083809789227768
sRstRate,0.0005412142956864068
rFinRate,0.0002979514948270877
rPayloadMin,0.00016538498800707852
rUrgRate,0.0
sttl,0.0
sAckRate,0.0
sUrgRate,0.0
rRstRate,0.0
sFragmentRate,0.0
rFragmentRate,0.0
